,city,latitude,longitude,temperature,humidity,cloudiness,wind speed
0,bow island,50.23,-111.1,35.6,74.0,75.0,9.17
1,bethel,41.51,-172.2,15.8,85.0,1.0,9.17
2,bengkulu,-16.52,86.64,,,,
3,east london,-70.33,50.47,73.7,100.0,8.0,2.26
4,fort nelson,59.36,-125.03,35.6,64.0,90.0,5.82
5,chuy,-44.73,-38.47,74.24,66.0,0.0,12.77
6,anicuns,-16.27,-50.04,77.03,84.0,36.0,2.37
7,jamestown,-9.26,-3.13,49.4,74.0,0.0,14.23
8,puerto ayora,-6.42,-93.43,87.8,62.0,40.0,17.22
9,busselton,-38.73,104.96,74.78,84.0,0.0,16.24
10,college,64.59,-149.75,26.6,85.0,90.0,4.7
11,longyearbyen,81.43,22.03,5.0,60.0,20.0,19.46
12,yulara,-28.59,130.08,73.4,33.0,0.0,9.17
13,kungurtug,49.6,96.95,7.01,69.0,0.0,2.82
14,cidreira,-36.48,-44.11,70.91,81.0,76.0,1.92
15,punta arenas,-60.79,-89.18,53.6,46.0,20.0,19.46
16,severo-kurilsk,32.52,164.47,22.31,100.0,36.0,21.61
17,bartica,6.31,-58.99,86.0,70.0,75.0,13.87
18,kapaa,21.27,-174.14,71.6,78.0,90.0,16.11
19,cape town,-53.69,-13.22,66.2,68.0,75.0,2.24
20,nikolskoye,36.07,172.53,26.6,86.0,90.0,13.42
21,warmbad,-29.13,18.66,30.2,92.0,75.0,5.82
22,ancud,-39.79,-86.07,59.3,64.0,24.0,3.38
23,coquimbo,-30.86,-76.93,64.4,68.0,0.0,9.17
24,provideniya,54.6,-174.93,19.7,100.0,48.0,8.41
25,emerald,-24.99,144.29,69.74,85.0,36.0,8.97
26,karpathos,33.81,27.55,57.2,71.0,44.0,3.36
27,tuktoyaktuk,83.76,-122.34,3.2,83.0,75.0,5.82
28,port elizabeth,-86.97,38.74,35.6,80.0,90.0,27.51
29,whyalla,-32.88,136.31,59.0,67.0,0.0,16.11
30,khani,56.29,119.76,66.2,48.0,90.0,23.04
31,marsassoum,12.93,-16.02,89.6,43.0,0.0,9.17
32,hofn,64.55,-11.86,40.94,91.0,68.0,12.88
33,albany,-83.44,90.85,37.4,32.0,1.0,6.93
34,lorengau,3.2,145.27,82.61,99.0,68.0,13.56
35,yellowknife,67.82,-113.97,8.6,60.0,20.0,11.41
36,dikson,85.42,75.82,5.66,100.0,68.0,12.44
37,sentyabrskiy,40.18,151.65,,,,
38,vaini,-32.23,-179.77,65.6,71.0,0.0,1.92
39,nanortalik,57.52,-47.3,32.75,99.0,80.0,6.62
40,samusu,-13.68,-167.9,,,,
41,ilulissat,78.11,-45.37,19.4,85.0,90.0,4.7
42,rikitea,-12.73,-116.99,81.08,99.0,68.0,14.45
43,yumen,40.01,97.24,34.19,68.0,0.0,9.19
44,os,62.12,11.26,,,,
45,lomovka,53.73,58.61,8.6,84.0,0.0,8.95
46,foshan,23.06,112.84,53.6,66.0,75.0,11.18
47,aykhal,67.01,111.48,21.5,88.0,80.0,10.98
48,palmer,62.9,-148.36,53.6,58.0,0.0,9.17
